system:index,B11,B3,B3_20m,B4,B4_20m,B8,B8_20m,CLP,CLP_20m,EPSG,NDSI_20m,NDVI,NDVI_20m,doi,kNDVI,kNDVI_20m,lat,long,name,year,.geo
20180619T212521_20180619T212522_T07WET_3,4345,6950,6953,7359,7372,7343,7367,99,100,32607,0.23083731633917506,-0.0010882873078492722,-3.39236040436936E-4,170,1.1843692644252628E-6,1.1508109113132997E-7,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180619T212521_20180619T212522_T07WET_4,4150,6857,6857,7234,7228,7191,7211,99,99,32607,0.24593440537839556,-0.002980935875216638,-0.0011773668536602258,170,8.885978691919704E-6,1.3861927080968917E-6,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20180619T212521_20180619T212522_T07WET_5,4185,6816,6791,7249,7246,7132,7078,99,99,32607,0.2374271137026239,-0.008135734649885266,-0.011728567439262776,170,6.619017819668092E-5,1.3755929330967702E-4,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180621T211509_20180621T211512_T07WET_0,2554,1051,1052,1052,1030,1882,1879,25,24,32607,-0.41652800887409874,0.2828902522154056,0.2918528704022001,172,0.07985649245728786,0.08497269625341272,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180621T211509_20180621T211512_T07WET_1,2685,1095,1090,1078,1081,2066,1970,24,23,32607,-0.42251655629139073,0.3142493638676845,0.2913798754506719,172,0.09843289509569422,0.08469881554857189,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180621T211509_20180621T211512_T07WET_2,2898,1117,1111,1218,1201,2235,2271,28,30,32607,-0.4457470690945373,0.2945264986967854,0.30817972350230416,172,0.08652892834106951,0.09469020479336637,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20180621T211509_20180621T211512_T07WET_3,1906,1062,1211,1138,1265,1270,1617,33,28,32607,-0.22297080526146937,0.054817275747508304,0.12213740458015267,172,0.0030049246759344807,0.014916439146511098,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180621T211509_20180621T211512_T07WET_4,2819,1109,1096,1120,1115,1911,1866,20,20,32607,-0.4401021711366539,0.26096997690531176,0.2519288829251929,172,0.06800022538167476,0.06338307816607144,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20180621T211509_20180621T211512_T07WET_5,2917,1172,1165,1287,1286,2164,2160,27,29,32607,-0.4292013718765311,0.2541292379020574,0.2536273940800929,172,0.06449203352384762,0.06423827466066309,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180622T213531_20180622T213529_T07WET_0,1681,1541,1521,1399,1376,1833,1834,97,96,32607,-0.04996876951905059,0.1342821782178218,0.1426791277258567,173,0.018029749351058496,0.02035452178568641,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180622T213531_20180622T213529_T07WET_1,1695,1526,1559,1405,1410,1932,1913,96,96,32607,-0.04179471419791026,0.15792628109080012,0.15136924465844118,173,0.02493554018050521,0.02290863943743913,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
